record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,msp_gap,below_msp_flag
PR005480,2026-07-20,MANDI050,Moga,Mustard,5592.07,6362.979993983251,5977.53,5650.0,-327.52999999999975,0
PR010827,2026-06-25,MANDI005,Fatehabad,Sugarcane,3119.64,3645.1,3382.37,3500.0,117.63000000000011,1
PR000661,2026-07-26,MANDI029,Fatehabad,Rice,,2666.93,2401.0,2183.0,-218.0,0
PR002565,2026-05-07,MANDI043,Ludhiana,Maize,,2198.0,2022.0,2090.0,68.0,1
PR004659,2026-01-23,MANDI010,Sirsa,Maize,1944.04,2211.0,2077.0,2090.0,13.0,1
PR008402,2026-06-16,MANDI027,Fatehabad,Maize,1845.0,2143.52,1994.33,,,0
PR007197,2026-05-04,MANDI033,Ambala,Sugarcane,3653.020121077713,4059.89,3856.0,3500.0,-356.0,0
PR000500,2026-04-02,MANDI035,Moga,Rice,2181.045527366979,2399.84,2290.0,2183.0,-107.0,0
PR002708,2026-08-17,MANDI053,Sirsa,Cotton,6858.04,7844.4388757834595,7351.24,6620.0,-731.2399999999998,0
PR008975,2026-05-04,MANDI046,Karnal,Wheat,2350.0,2685.0,2517.0,2275.0,-242.0,0
PR007085,2026-11-03,MANDI039,Ambala,Mustard,5727.0,6192.0,5959.0,5650.0,-309.0,0
PR003234,2026-08-31,MANDI010,Hisar,Mustard,5344.0,6188.0,5766.0,5650.0,-116.0,0
PR010364,2026-06-29,MANDI014,Fatehabad,Rice,1936.0,2035.72,,2183.0,,0
PR003552,2026-05-18,MANDI024,Karnal,Maize,1791.21,1980.88,1886.04,,,0
PR003156,2026-07-28,MANDI052,Bathinda,Maize,2067.21,2382.0,2224.78,2090.0,-134.7800000000002,0
PR001607,2026-06-18,MANDI011,Patiala,Mustard,5565.0,6412.727054232409,5989.0,,,0
PR002564,2026-04-06,MANDI010,Ambala,Maize,2121.78,2587.0,2354.0,2090.0,-264.0,0
PR001680,2026-09-02,MANDI038,Bathinda,Rice,2063.33,2387.0,2225.08,2183.0,-42.07999999999993,0
PR004686,2026-04-30,MANDI051,Saharanpur,Mustard,5523.1,6271.94,5898.0,,,0
PR010671,2026-12-08,MANDI036,Sirsa,Sugarcane,3521.0,3829.9,3675.0,3500.0,-175.0,0
PR003180,2026-03-02,MANDI057,Patiala,Rice,2102.2,2284.3,2193.25,2183.0,-10.25,0
PR007921,2026-06-13,MANDI057,Patiala,Wheat,2274.0,2519.92,2397.03,2275.0,-122.0300000000002,0
PR009782,2026-03-30,MANDI045,Meerut,Mustard,4983.72,6078.7,5531.21,5650.0,118.78999999999996,1
PR007375,2026-05-26,MANDI007,Sirsa,Cotton,6948.75,7354.0,7151.48,6620.0,-531.4799999999996,0
PR003698,2026-02-28,MANDI003,Jalandhar,Maize,,2455.0,2321.22,2090.0,-231.2199999999998,0
PR011382,2026-05-20,MANDI047,Karnal,Maize,1923.0,2057.96,1990.53,2090.0,99.47000000000003,1
PR000927,2026-08-16,MANDI042,Bathinda,Wheat,1971.5,2367.71,2170.0,2275.0,105.0,1
PR011519,2026-03-27,MANDI030,Jalandhar,Mustard,5653.22,6810.92,6232.0,5650.0,-582.0,0
PR009637,2026-10-03,MANDI056,Hisar,Mustard,5115.5,,5462.0,5650.0,188.0,1
PR001637,2026-04-23,MANDI048,Ludhiana,Rice,2010.1534847915866,2209.05,2110.0,,,0
PR004876,2026-08-12,MANDI040,Fatehabad,Cotton,6345.534975638505,7199.0,6772.33,,,0
PR001068,2026-02-27,MANDI043,Moga,Rice,2093.86,2212.47,2153.17,2183.0,29.829999999999927,1
PR006220,2026-05-31,MANDI021,Bathinda,Maize,1888.0,2027.39,1957.5956597046059,2090.0,132.40434029539415,1
PR008164,2026-04-16,MANDI027,Hisar,Rice,2145.539983472816,2347.05,2246.3,2183.0,-63.30000000000018,0
PR004486,2026-06-05,MANDI027,Hisar,Maize,1887.5,2254.54,2071.0,2090.0,19.0,1
PR001657,2026-05-26,MANDI010,Jalandhar,Sugarcane,3058.0,3448.7883456534482,3253.0,3500.0,247.0,1
PR000636,2026-07-30,MANDI001,Jalandhar,Mustard,5830.0,6522.04,6175.78,5650.0,-525.7799999999997,0
PR008714,2026-01-19,MANDI044,Bathinda,Sugarcane,3275.4225337385774,3868.2,3572.0,3500.0,-72.0,0
PR006554,2026-12-05,MANDI019,Ferozepur,Wheat,2043.0,2169.0,2106.18,,,0
PR007451,2026-05-06,MANDI049,Hisar,Rice,2133.49,2430.74,2282.12,2183.0,-99.11999999999989,0
PR004826,2026-02-27,MANDI008,Moga,Mustard,5305.6683659374585,5842.61,5574.14,5650.0,75.85999999999967,1
PR003124,2026-04-07,MANDI002,Patiala,Cotton,6280.49,7576.15,6928.32,6620.0,-308.3199999999997,0
PR007308,2026-06-15,MANDI048,Jalandhar,Cotton,6414.53,7817.45,7115.99,,,0
PR011358,2026-03-03,MANDI027,Hisar,Wheat,1957.21,2120.7088850785995,2038.96,2275.0,236.03999999999996,1
PR002849,2026-02-19,MANDI043,Jalandhar,Wheat,2108.38,2303.0,2205.49,,,0
PR000278,2026-02-04,MANDI002,Ludhiana,Maize,2028.0,2420.0,2224.0,2090.0,-134.0,0
PR010767,2026-01-26,MANDI049,Patiala,Cotton,6176.37,7109.091862971616,6642.73,,,0
PR009416,2026-05-06,,,Rice,1918.74,2304.0,2111.0,2183.0,72.0,1
PR006769,2026-08-02,,,Wheat,2047.45,2342.22,2195.0,2275.0,80.0,1
PR005062,2026-08-29,MANDI057,Ferozepur,Sugarcane,3331.999425085686,3987.3206060919074,3659.66,,,0
PR006581,2026-06-17,MANDI012,Kurukshetra,Mustard,5447.43517291978,6539.0,,5650.0,,0
PR003411,2026-07-25,MANDI050,Bathinda,Mustard,5673.4,,6244.0,,,0
PR001183,2026-06-28,MANDI051,,Wheat,2311.342582562423,2580.92,2446.13,2275.0,-171.1300000000001,0
PR003889,2026-05-29,MANDI030,Sirsa,Cotton,6089.0,6442.05,6265.64,,,0
PR006057,2026-03-28,MANDI003,Ludhiana,Rice,1970.36,2238.5,2104.0,2183.0,79.0,1
PR010183,2026-01-13,MANDI023,Kurukshetra,Maize,1863.0,2087.97,1975.71,2090.0,114.28999999999996,1
PR000371,2026-08-07,MANDI018,Fatehabad,Mustard,5054.0,5585.96,5320.06,5650.0,329.9399999999996,1
PR006590,2026-05-24,MANDI035,Patiala,Wheat,2350.41,2731.0,2540.73,2275.0,-265.73,0
PR010318,2026-02-15,MANDI014,Amritsar,Sugarcane,3264.0,3445.4932241573993,3355.0,3500.0,145.0,1
PR000090,2026-06-26,MANDI040,Ambala,Maize,1881.8691227385789,,2003.89,2090.0,86.1099999999999,1
PR004915,2026-03-29,MANDI019,Moga,Wheat,2155.0,,2340.1,2275.0,-65.09999999999991,0
PR009953,2026-04-22,MANDI028,Ambala,Rice,1901.88,2078.12,1990.0,2183.0,193.0,1
PR010106,2026-02-01,MANDI042,Bathinda,Cotton,6136.0,6538.69,6337.33,,,0
PR000014,2026-02-08,MANDI028,Hisar,Wheat,2100.07,2375.64,2238.0,2275.0,37.0,1
PR000287,2026-04-13,MANDI031,,Wheat,2103.01,2276.59,2189.8,2275.0,85.19999999999982,1
PR004723,2026-12-04,MANDI020,Kurukshetra,Wheat,1960.0,2441.0,2200.7,2275.0,74.30000000000018,1
PR000290,2026-08-07,MANDI024,Bathinda,Sugarcane,3589.02,3950.83341499987,3769.93,3500.0,-269.92999999999984,0
PR000885,2026-04-26,MANDI016,Kurukshetra,Mustard,4928.43761867252,5446.76,5188.0,5650.0,462.0,1
PR006785,2026-07-31,MANDI025,Karnal,Rice,2112.0,2555.56,2334.0,2183.0,-151.0,0
PR011132,2026-03-30,MANDI020,Sirsa,Sugarcane,3250.83,3969.99,3610.0,3500.0,-110.0,0
PR000072,2026-06-01,MANDI047,Amritsar,Wheat,2020.69,,2160.48,2275.0,114.51999999999998,1
PR008759,2026-10-04,MANDI042,Moga,Rice,1916.22,2381.0,2148.0,2183.0,35.0,1
PR002705,2026-06-11,,,Mustard,4886.19,5692.39,5289.29,,,0
PR011585,2026-01-28,MANDI016,Jalandhar,Sugarcane,3395.0,3710.84,3552.76,,,0
PR001860,2026-04-18,MANDI030,Sirsa,Sugarcane,3233.75,3496.33,3365.0,,,0
PR001126,2026-03-20,MANDI003,Amritsar,Rice,1889.99,2165.52,,2183.0,,0
PR001877,2026-04-28,MANDI038,Ludhiana,Cotton,6070.34,6646.0,6357.95,,,0
PR004804,2026-08-10,MANDI015,Fatehabad,Sugarcane,3036.0,3480.16,3257.9,3500.0,242.0999999999999,1
PR005224,2026-08-06,MANDI019,Ludhiana,Cotton,5856.97,6404.1,6130.53,6620.0,489.47000000000025,1
PR011327,2026-07-20,MANDI020,Hisar,Mustard,5578.0,6771.16,6175.0,5650.0,-525.0,0
PR003657,2026-07-06,MANDI049,Moga,Mustard,5526.458101463893,6776.9,6151.677939662541,5650.0,-501.67793966254067,0
PR004286,2026-02-13,MANDI020,Sirsa,Mustard,4839.19,5232.752108331381,5036.0,5650.0,614.0,1
PR009464,2026-05-12,MANDI054,Sirsa,Mustard,,6269.21,5795.0,5650.0,-145.0,0
PR009540,2026-08-17,MANDI036,Ferozepur,Rice,2140.35,2314.92,,2183.0,,0
PR008741,2026-05-28,MANDI027,Hisar,Mustard,5551.23,6183.12,5867.18,5650.0,-217.1800000000003,0
PR006103,2026-06-11,MANDI032,Fatehabad,Mustard,4861.23,5327.596778987246,5094.0,5650.0,556.0,1
PR004446,2026-04-01,MANDI012,Jalandhar,Wheat,2054.38,2163.73,2109.06,2275.0,165.94000000000005,1
PR008501,2026-06-21,MANDI047,Ambala,Maize,2055.01,2496.0,,2090.0,,0
PR009136,2026-08-31,MANDI005,Hisar,Mustard,5172.652159477422,5630.0,5401.09,5650.0,248.90999999999985,1
PR006128,2026-08-22,MANDI029,Bathinda,Sugarcane,3586.69,4146.78,3867.0,3500.0,-367.0,0
PR003726,2026-03-16,MANDI047,,Wheat,,2382.0,2300.9,2275.0,-25.90000000000009,0
PR004026,2026-04-13,MANDI002,Amritsar,Maize,2131.44,2417.37,2274.41,2090.0,-184.40999999999985,0
PR006940,2026-07-15,MANDI030,Sirsa,Wheat,2027.0,2491.3,2259.35,2275.0,15.650000000000091,1
PR005645,2026-05-03,MANDI033,Bathinda,Sugarcane,3040.1534854977804,3610.64,3325.0,3500.0,175.0,1
PR000750,2026-03-08,MANDI040,Ambala,Wheat,2215.18,2565.59,2390.0,2275.0,-115.0,0
PR010477,2026-03-08,MANDI013,Moga,Mustard,4997.0,,5469.33,,,0
PR000039,2026-07-15,,,Maize,1962.5739438804824,2442.29,2202.4319069968533,2090.0,-112.43190699685329,0
PR011063,2026-09-05,MANDI027,,Sugarcane,3640.7,3951.0,3796.0,3500.0,-296.0,0
PR011564,2026-04-28,MANDI053,Patiala,Sugarcane,3045.97,3222.0,3133.91,,,0
PR007008,2026-08-04,MANDI049,Fatehabad,Sugarcane,3369.49,4021.331053658642,3695.41,3500.0,-195.40999999999985,0
PR003175,2026-04-14,,,Wheat,2064.0,2298.0486185914897,2180.934103947472,,,0
PR006920,2026-04-27,MANDI054,,Rice,2220.0,2582.38,2400.95,,,0
PR004602,2026-01-03,MANDI002,Ludhiana,Mustard,5771.242300224399,6931.516916716651,6351.38,5650.0,-701.3800000000001,0
PR002404,2026-05-27,MANDI035,Patiala,Wheat,2377.0,2583.0,2479.89,,,0
PR003530,2026-03-13,MANDI050,Sirsa,Maize,1916.33,2164.0,2040.26,2090.0,49.74000000000001,1
PR000052,2026-06-14,MANDI039,Hisar,Rice,1893.66,2329.0,2111.0,2183.0,72.0,1
PR004884,2026-05-11,MANDI029,Ambala,Mustard,4883.77,5935.74,5409.76,5650.0,240.23999999999978,1
PR004396,2026-03-20,MANDI039,Jalandhar,Wheat,2316.1367012365836,2639.0,2477.74,2275.0,-202.73999999999978,0
PR005356,2026-03-25,MANDI029,Sirsa,Mustard,5367.63,6494.201218716404,5931.0,5650.0,-281.0,0
PR008385,2026-03-05,MANDI007,Fatehabad,Cotton,6143.0,6676.52,6409.956297337709,,,0
PR001049,2026-02-28,MANDI018,Moga,Sugarcane,3544.39,4305.27,3924.83,3500.0,-424.8299999999999,0
PR001227,2026-05-28,MANDI049,Ludhiana,Rice,2223.0,2360.0,2291.15,2183.0,-108.15000000000009,0
PR002021,2026-02-15,MANDI053,Kurukshetra,Sugarcane,2975.02,3540.228356606027,3257.62,3500.0,242.3800000000001,1
PR002840,2026-08-07,MANDI055,Jalandhar,Rice,1909.34,2007.0,1958.1,,,0
PR001582,2026-09-07,MANDI020,Ambala,Mustard,,6323.0,6051.36,5650.0,-401.3599999999997,0
PR007108,2026-08-13,MANDI037,Kurukshetra,Sugarcane,3272.0,3501.56,3386.98,3500.0,113.01999999999998,1
PR002341,2026-01-12,MANDI053,Karnal,Wheat,2267.0,2644.35,2455.58,2275.0,-180.57999999999993,0
PR005608,2026-02-06,MANDI015,Bathinda,Sugarcane,3229.0,3715.85,3473.0,3500.0,27.0,1
PR001136,2026-04-18,MANDI038,Ferozepur,Rice,2102.32,2442.07,2272.196527136316,2183.0,-89.19652713631604,0
PR009689,2026-02-09,MANDI048,Karnal,Wheat,2164.0,2591.0,,2275.0,,0
PR002408,2026-02-22,MANDI047,Ambala,Rice,2208.44,2509.35,2358.9,,,0
PR004924,2026-03-13,MANDI054,Bathinda,Wheat,,2411.0,2322.27,2275.0,-47.26999999999998,0
PR003193,2026-03-30,MANDI010,Jalandhar,Cotton,6317.87239055306,6975.84,6646.85,6620.0,-26.850000000000364,0
PR005567,2026-01-07,MANDI026,Ferozepur,Cotton,5830.38,6868.0,6349.04,,,0
PR002815,2026-08-19,MANDI030,Sirsa,Mustard,5403.91,6606.69,6005.3,,,0
PR000950,2026-08-20,MANDI032,Patiala,Mustard,5880.31,6824.33,6352.32,5650.0,-702.3199999999997,0
PR004751,2026-02-17,MANDI028,Ambala,Mustard,4874.0,5365.0,5119.29,5650.0,530.71,1
PR008389,2026-07-08,MANDI024,Amritsar,Sugarcane,3647.18,3970.64,3808.91,3500.0,-308.90999999999985,0
PR008760,2026-05-07,MANDI001,ludhiana,Rice,1878.64,2162.0,2020.53,,,0
PR011074,2026-07-29,MANDI020,Fatehabad,Maize,2194.053527943877,2537.0,2365.44,2090.0,-275.44000000000005,0
PR005674,2026-04-15,MANDI008,Moga,Maize,1979.96,2214.64,2097.3,2090.0,-7.300000000000182,0
PR005008,2026-01-31,MANDI018,Amritsar,Wheat,2010.881479567271,2355.0,2183.0,,,0
PR011356,2026-03-18,MANDI043,Hisar,Maize,1954.52,2366.0,2160.21,2090.0,-70.21000000000004,0
PR002972,2026-09-01,MANDI022,Moga,Mustard,5071.97,,5639.0,5650.0,11.0,1
PR010128,2026-08-12,MANDI028,Jalandhar,Sugarcane,3371.0,4039.65,3705.46,,,0
PR011087,2026-05-18,MANDI007,Hisar,Cotton,6778.52,,7571.13,6620.0,-951.1300000000001,0
PR004868,2026-05-02,MANDI003,Ludhiana,Mustard,5002.0,6193.71,5598.01,5650.0,51.98999999999978,1
PR008792,2026-02-08,MANDI054,Karnal,Wheat,2009.0,2222.62,2116.0,,,0
PR007739,2026-01-31,MANDI014,Bathinda,Rice,,2361.8612565831104,2127.9743581320763,2183.0,55.025641867923696,1
PR002430,2026-05-16,MANDI012,Amritsar,Cotton,6174.08,7548.55,6861.32,6620.0,-241.3199999999997,0
PR004051,2026-01-31,MANDI028,Ambala,Sugarcane,2980.0,3691.46,3336.0,3500.0,164.0,1
PR003668,2026-04-06,MANDI046,Ferozepur,Wheat,2355.04,2804.03,2579.5355788650804,2275.0,-304.5355788650804,0
PR004727,2026-08-21,MANDI055,Kurukshetra,Cotton,6876.26,8157.95,7517.11,6620.0,-897.1099999999997,0
PR005138,2026-12-07,MANDI029,Ludhiana,Maize,2096.0,2223.71,2159.61,,,0
PR007759,2026-12-08,MANDI047,Ferozepur,Cotton,6556.98,7685.55,7121.0,6620.0,-501.0,0
PR011285,2026-03-21,MANDI014,Amritsar,Rice,2080.71,2557.56,2319.13368564531,,,0
PR001781,2026-01-29,,,Sugarcane,3328.0,,3495.26,3500.0,4.739999999999782,1
PR004208,2026-03-01,MANDI055,Fatehabad,Sugarcane,3298.88,3885.0,3591.97,,,0
PR009564,2026-06-02,MANDI030,Sirsa,Rice,1917.9,2096.52,2007.21,2183.0,175.78999999999996,1
PR006507,2026-07-03,MANDI026,Bathinda,Mustard,5898.0,7095.58,6497.0,5650.0,-847.0,0
PR000400,2026-05-14,MANDI013,Ambala,Cotton,6276.11,7009.0,6642.0,6620.0,-22.0,0
PR007293,2026-04-07,MANDI020,Bathinda,Wheat,,2422.25,2352.52,2275.0,-77.51999999999998,0
PR008867,2026-01-05,MANDI044,Moga,Wheat,2385.9,2639.48,,2275.0,,0
PR001310,2026-04-19,MANDI010,Amritsar,Wheat,2150.5,2332.55,2241.53,2275.0,33.4699999999998,1
PR005490,2026-03-16,MANDI017,,Wheat,2142.0,2563.0,2353.0,,,0
PR011563,2026-03-03,MANDI053,Bathinda,Wheat,2255.15,2482.51,2368.828527057596,2275.0,-93.82852705759615,0
PR010339,2026-04-25,MANDI041,Ambala,Mustard,4885.0,5930.06,5407.37,5650.0,242.6300000000001,1
PR008342,2026-05-08,MANDI008,Karnal,Sugarcane,3424.86,4060.635122435789,3742.75,3500.0,-242.75,0
PR009868,2026-03-23,MANDI014,,Wheat,1973.64,,,2275.0,,0
PR006715,2026-05-15,MANDI005,Ambala,Maize,2009.38,2499.56,2254.47,2090.0,-164.4699999999998,0
PR007779,2026-04-15,MANDI014,Karnal,Mustard,5290.63,5646.15,5468.39,5650.0,181.60999999999967,1
PR003626,2026-01-17,MANDI013,Kurukshetra,Cotton,6807.99,7556.0,7182.0,6620.0,-562.0,0
PR006541,2026-03-24,MANDI022,Hisar,Rice,1872.0,2118.32,1995.3074203373908,2183.0,187.6925796626092,1
PR005794,2026-01-18,MANDI032,Amritsar,Maize,2042.8075738151144,2420.66,2231.7320808322575,,,0
PR000124,2026-01-08,MANDI013,Ferozepur,Mustard,5392.49,5765.0,5578.81,,,0
