arrival_id,date,mandi_id,crop_name,variety,arrival_qtl,unit,farmer_count,is_negative_anomaly
ARR0022129,2026-02-10,MANDI040,Sugarcane,Local,458.13,Qtl,131.0,False
ARR0015481,2026-09-06,MANDI028,Maize,Premium,0.07,Qtl,68.0,False
ARR0020630,2026-08-16,MANDI028,Rice,Local,325.83,Qtl,36.0,False
ARR0005888,2026-07-03,MANDI049,Maize,Common,182.46,Qtl,64.0,False
ARR0006650,2026-06-09,MANDI043,Rice,Local,182.75,Qtl,128.0,False
ARR0002363,2026-09-03,MANDI026,Maize,Pusa-1121,239.47,Qtl,29.0,False
ARR0010446,2026-08-05,MANDI026,Maize,Pusa-1121,178.99,Qtl,21.0,False
ARR0009069,2026-05-15,MANDI022,Cotton,Pusa-1121,59.18,Qtl,76.0,False
ARR0020854,2026-06-18,MANDI035,Sugarcane,Pusa-1121,158.72,Qtl,56.0,False
ARR0023442,2026-05-20,MANDI056,Cotton,Common,258.28,Qtl,73.0,False
ARR0011135,2026-06-20,MANDI035,Rice,Premium,375.28,Qtl,138.0,False
ARR0000197,2026-05-20,MANDI001,Cotton,HD-2967,76.9,Qtl,118.0,False
ARR_RESCUE_00003,2026-05-08,MANDI002,Maize,HD-2967,285.57,Qtl,46.0,False
ARR0001203,2026-04-04,MANDI045,Cotton,PBW-343,26.83,Qtl,12.0,False
ARR0009407,2026-04-05,MANDI051,Mustard,Local,108.06,Qtl,78.0,False
ARR0013714,2026-03-31,MANDI038,Cotton,Premium,372.88,Qtl,41.0,False
ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,Qtl,11.0,False
ARR0006770,2026-06-25,MANDI015,Wheat,Hybrid,141.83,Qtl,134.0,False
ARR0019634,2026-03-25,MANDI013,Cotton,Common,181.37,Qtl,45.0,False
ARR0012525,2026-06-25,MANDI043,Maize,Premium,334.11,Qtl,119.0,False
ARR0016292,2026-02-05,MANDI049,Maize,Pusa-1121,414.58,Qtl,36.0,False
ARR0019272,2026-05-03,MANDI030,Sugarcane,Local,0.39,Qtl,104.0,False
ARR0004049,2026-04-13,MANDI003,Rice,Pusa-1121,214.12,Qtl,56.0,False
ARR0002716,2026-07-17,MANDI057,Sugarcane,Hybrid,413.89,Qtl,106.0,False
ARR0014184,2026-12-02,MANDI037,Mustard,PBW-343,0.35,Qtl,1.0,False
ARR0008333,2026-01-15,MANDI054,Wheat,Common,3.5718,Qtl,133.0,True
ARR0000429,2026-08-25,MANDI039,Cotton,Hybrid,126.56,Qtl,76.0,False
ARR0024925,2026-08-04,MANDI024,Wheat,Common,183.44,Qtl,83.0,False
ARR0019727,2026-04-30,MANDI034,Cotton,PBW-343,403.81,Qtl,81.0,False
ARR0002477,2026-03-28,MANDI020,Rice,Local,311.39,Qtl,150.0,False
ARR0000342,2026-06-17,MANDI033,Cotton,Premium,191.48,Qtl,30.0,False
ARR0023820,2026-07-25,MANDI029,Mustard,Local,272.0,Qtl,95.0,False
ARR0010204,2026-07-21,MANDI006,Rice,Common,25.84,Qtl,102.0,False
ARR0000398,2026-03-25,MANDI029,Maize,PBW-343,20.63,Qtl,44.0,False
ARR0020708,2026-06-01,MANDI054,Cotton,Hybrid,410.19999999999993,Qtl,60.0,False
ARR0020105,2026-02-19,MANDI028,Mustard,Pusa-1121,485.63,Qtl,60.0,False
ARR0019842,2026-03-30,MANDI056,Sugarcane,Pusa-1121,29.48,Qtl,112.0,False
ARR0014214,2026-02-21,MANDI031,Sugarcane,Hybrid,478.99,Qtl,123.0,False
ARR0017781,2026-05-24,MANDI031,Sugarcane,PBW-343,460.65,Qtl,46.0,False
ARR0009910,2026-04-28,MANDI041,Cotton,Pusa-1121,372.43,Qtl,42.0,False
ARR0008506,2026-03-02,MANDI024,Rice,Hybrid,74.11,Qtl,96.0,False
ARR0023886,2026-07-12,MANDI011,Maize,Local,156.64,Qtl,14.0,False
ARR0006149,2026-04-27,MANDI041,Cotton,Pusa-1121,46.38,Qtl,103.0,False
ARR0023964,2026-07-20,MANDI008,Rice,Common,81.67,Qtl,30.0,False
ARR0003143,2026-08-24,MANDI034,Rice,HD-2967,401.5,Qtl,113.0,False
ARR0002588,2026-06-05,MANDI040,Mustard,Common,44.89,Qtl,137.0,False
ARR0002948,2026-02-18,MANDI019,Wheat,Common,0.12,Qtl,146.0,False
ARR0015103,2026-02-22,MANDI050,Cotton,Pusa-1121,242.45,Qtl,73.0,False
ARR0011288,2026-04-01,MANDI043,Cotton,Pusa-1121,272.59,Qtl,43.0,False
ARR0009656,2026-04-01,MANDI018,Sugarcane,HD-2967,0.07,Qtl,1.0,False
ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,0.41,Qtl,134.0,False
ARR0013711,2026-03-29,MANDI028,Sugarcane,Hybrid,47.79,Qtl,15.0,False
ARR0009578,2026-04-12,MANDI016,Maize,Pusa-1121,309.79,Qtl,20.0,False
ARR0005981,2026-05-04,MANDI004,Rice,Premium,228.42,Qtl,145.0,False
ARR0023291,2026-11-02,MANDI020,Wheat,Premium,80.86,Qtl,89.0,False
ARR0009654,2026-03-13,MANDI030,Sugarcane,Common,0.24,Qtl,31.0,False
ARR0012458,2026-05-08,MANDI039,Mustard,Pusa-1121,276.83,Qtl,24.0,False
ARR0014621,2026-05-23,MANDI056,Sugarcane,Local,0.26,Qtl,80.0,False
ARR0016696,2026-01-31,MANDI039,Maize,Pusa-1121,62.02,Qtl,132.0,False
ARR0004195,2026-07-17,MANDI035,Mustard,PBW-343,167.84,Qtl,129.0,False
ARR0014009,2026-04-08,MANDI007,Maize,Common,418.67,Qtl,85.0,False
ARR0002509,2026-05-31,MANDI013,Maize,HD-2967,22.0,Qtl,141.0,False
ARR0017972,2026-02-26,MANDI034,Rice,Local,293.4,Qtl,6.0,False
ARR0002169,2026-01-09,MANDI039,Rice,Hybrid,0.5489,Qtl,41.0,True
ARR_RESCUE_00004,2026-08-19,MANDI044,Wheat,Hybrid,160.17,Qtl,138.0,False
ARR0003269,2026-04-03,MANDI046,Rice,PBW-343,410.98,Qtl,43.0,False
ARR0009004,2026-03-27,MANDI023,Wheat,Common,4.5548,Qtl,120.0,True
ARR0018741,2026-02-20,MANDI056,Sugarcane,Premium,256.67,Qtl,31.0,False
ARR0014531,2026-02-03,MANDI036,Cotton,Common,4.5342,Qtl,38.0,True
ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,245.01,Qtl,86.0,False
ARR0010827,2026-05-29,MANDI016,Rice,Premium,156.22,Qtl,95.0,False
ARR0018637,2026-04-04,MANDI046,Rice,Hybrid,77.12,Qtl,67.0,True
ARR0007570,2026-07-29,MANDI019,Mustard,Premium,326.35,Qtl,105.0,False
ARR0011179,2026-03-30,MANDI040,Mustard,Common,327.55,Qtl,26.0,False
ARR0009296,2026-05-10,MANDI001,Maize,Common,23.5,Qtl,8.0,False
ARR0019940,2026-08-21,MANDI022,Sugarcane,HD-2967,16.33,Qtl,68.0,False
ARR0004811,2026-05-26,MANDI020,Rice,Hybrid,89.74,Qtl,77.0,False
ARR0020960,2026-03-03,MANDI047,Mustard,Premium,323.15,Qtl,113.0,False
ARR0002791,2026-02-06,MANDI055,Mustard,PBW-343,211.28,Qtl,47.0,False
ARR0012957,2026-02-10,MANDI019,Rice,Local,278.08,Qtl,36.0,False
ARR0022933,2026-08-04,MANDI037,Cotton,Premium,28.54,Qtl,9.0,False
ARR0014544,2026-07-31,MANDI022,Maize,Pusa-1121,114.88,Qtl,116.0,False
ARR0013198,2026-04-25,MANDI010,Wheat,Pusa-1121,59.22,Qtl,43.0,False
ARR0007340,2026-03-23,MANDI012,Wheat,Premium,215.7,Qtl,80.0,False
ARR0020658,2026-08-01,MANDI021,Rice,Hybrid,409.66,Qtl,96.0,False
ARR0001088,2026-05-07,MANDI017,Mustard,Pusa-1121,495.58,Qtl,94.0,False
ARR0024650,2026-08-18,MANDI049,Mustard,Hybrid,0.1134,Qtl,61.0,True
ARR0008152,2026-06-08,MANDI008,Cotton,Common,188.7,Qtl,147.0,False
ARR0021890,2026-06-02,MANDI009,Sugarcane,Common,493.91,Qtl,84.0,False
ARR0007925,2026-07-19,MANDI037,Mustard,Local,66.2,Qtl,32.0,False
ARR0017611,2026-04-12,MANDI024,Maize,Hybrid,165.63,Qtl,77.0,False
ARR0016207,2026-07-07,MANDI032,Maize,Pusa-1121,0.31,Qtl,34.0,False
ARR0024181,2026-07-05,MANDI015,Sugarcane,Local,110.39,Qtl,20.0,False
ARR0004419,2026-03-21,MANDI006,Sugarcane,Hybrid,64.7,Qtl,105.0,False
ARR0006199,2026-11-02,MANDI053,Sugarcane,Local,153.27,Qtl,79.0,False
ARR0014957,2026-01-09,MANDI019,Mustard,Hybrid,403.96,Qtl,79.0,False
ARR0023574,2026-02-26,MANDI023,Mustard,Premium,431.18,Qtl,129.0,False
ARR0017021,2026-03-14,MANDI020,Rice,Pusa-1121,25.36,Qtl,72.0,False
ARR0001428,2026-07-10,MANDI024,Maize,Hybrid,77.75,Qtl,106.0,True
ARR0002493,2026-04-14,MANDI006,Rice,Local,1.1525,Qtl,63.0,True
ARR0013505,2026-06-06,MANDI052,Mustard,Common,96.35,Qtl,34.0,False
ARR0002010,2026-03-21,MANDI033,Wheat,Local,4.3201,Qtl,12.0,True
ARR0002534,2026-07-02,MANDI007,Mustard,Pusa-1121,43.98,Qtl,21.0,False
ARR0009802,2026-09-07,MANDI026,Cotton,HD-2967,486.01,Qtl,12.0,False
ARR0015940,2026-03-13,MANDI028,Maize,Common,298.47,Qtl,18.0,False
ARR0005817,2026-03-20,MANDI013,Maize,Common,287.47,Qtl,12.0,False
ARR0023731,2026-03-15,MANDI008,Sugarcane,HD-2967,389.78,Qtl,137.0,False
ARR0018857,2026-01-25,MANDI042,Sugarcane,Hybrid,151.28,Qtl,113.0,False
ARR0010088,2026-01-09,MANDI049,Mustard,PBW-343,136.17,Qtl,48.0,True
ARR0020189,2026-05-24,MANDI057,Maize,Common,241.75,Qtl,68.0,False
ARR0022768,2026-06-28,MANDI024,Mustard,Premium,443.71,Qtl,42.0,False
ARR0018919,2026-03-17,MANDI024,Mustard,Common,78.07,Qtl,132.0,False
ARR0006562,2026-04-19,MANDI014,Wheat,PBW-343,0.25,Qtl,25.0,False
ARR0004149,2026-04-06,MANDI003,Rice,Premium,318.3,Qtl,48.0,False
ARR0024592,2026-08-28,MANDI037,Rice,PBW-343,62.98,Qtl,55.0,False
ARR0011429,2026-08-04,MANDI042,Wheat,Local,193.12,Qtl,101.0,False
ARR0018153,2026-02-05,MANDI027,Cotton,Local,451.02,Qtl,141.0,False
ARR0006286,2026-03-03,MANDI050,Maize,PBW-343,0.3,Qtl,7.0,False
ARR0000231,2026-06-07,MANDI049,Sugarcane,Hybrid,185.56,Qtl,82.0,False
ARR0018527,2026-08-01,MANDI010,Wheat,Local,425.38,Qtl,144.0,False
ARR0008215,2026-05-22,MANDI003,Sugarcane,Local,0.07,Qtl,73.0,False
ARR0010793,2026-08-23,MANDI022,Rice,Hybrid,425.79,Qtl,132.0,False
ARR0006601,2026-06-22,MANDI015,Mustard,HD-2967,1.4726,Qtl,5.0,True
ARR0023800,2026-09-09,MANDI012,Sugarcane,PBW-343,0.01,Qtl,123.0,False
ARR0021788,2026-06-07,MANDI016,Sugarcane,Hybrid,153.67,Qtl,143.0,False
ARR0019846,2026-06-21,MANDI024,Maize,Pusa-1121,259.71,Qtl,40.0,False
ARR0015205,2026-01-25,MANDI011,Rice,HD-2967,355.64,Qtl,56.0,False
ARR0008780,2026-01-30,MANDI038,Rice,PBW-343,0.38,Qtl,130.0,False
ARR0006070,2026-06-06,MANDI034,Wheat,Common,312.94,Qtl,65.0,False
ARR0002035,2026-06-06,MANDI049,Maize,Common,153.95,Qtl,97.0,False
ARR0002214,2026-01-24,MANDI044,Maize,Pusa-1121,25.92,Qtl,112.0,False
ARR0017078,2026-06-29,MANDI007,Mustard,Pusa-1121,0.31,Qtl,31.0,False
ARR0004860,2026-03-30,MANDI013,Mustard,Hybrid,96.93,Qtl,143.0,False
ARR0024883,2026-07-18,MANDI028,Maize,Hybrid,29.87,Qtl,131.0,False
ARR0012995,2026-06-04,MANDI057,Mustard,Common,385.54,Qtl,26.0,False
ARR0002230,2026-05-31,MANDI033,Wheat,Pusa-1121,364.6,Qtl,127.0,False
ARR0002276,2026-08-30,MANDI057,Sugarcane,Common,1.4327,Qtl,113.0,True
ARR_RESCUE_00005,2026-09-06,MANDI046,Cotton,Local,360.53,Qtl,135.0,False
ARR0005679,2026-03-03,MANDI015,Cotton,Hybrid,140.36,Qtl,51.0,False
ARR0018820,2026-10-05,MANDI032,Mustard,Premium,181.14,Qtl,116.0,False
ARR0002749,2026-01-24,MANDI031,Rice,Common,118.37,Qtl,43.0,False
ARR0010291,2026-06-21,MANDI036,Cotton,PBW-343,456.27,Qtl,118.0,False
ARR0004786,2026-08-01,MANDI015,Sugarcane,Common,185.58,Qtl,51.0,False
ARR0004085,2026-05-19,MANDI056,Maize,PBW-343,106.05,Qtl,38.0,False
ARR0001476,2026-05-19,MANDI048,Sugarcane,Local,323.65,Qtl,68.0,False
ARR0014866,2026-04-15,MANDI032,Sugarcane,PBW-343,402.65,Qtl,53.0,False
ARR0005733,2026-09-08,MANDI048,Sugarcane,Hybrid,118.61,Qtl,42.0,False
ARR0014885,2026-07-26,MANDI035,Rice,Premium,441.08,Qtl,14.0,False
ARR0009501,2026-05-18,MANDI045,Maize,PBW-343,0.45,Qtl,62.0,False
ARR0017324,2026-01-30,MANDI029,Mustard,Premium,311.41,Qtl,140.0,False
ARR0018785,2026-08-09,MANDI009,Wheat,Premium,168.48,Qtl,81.0,False
ARR0014174,2026-04-23,MANDI031,Sugarcane,Common,246.35,Qtl,83.0,False
ARR0012348,2026-05-16,MANDI057,Maize,Pusa-1121,28.0,Qtl,10.0,False
ARR0002860,2026-08-25,MANDI038,Rice,Common,162.44,Qtl,90.0,False
ARR_RESCUE_00006,2026-04-06,MANDI008,Wheat,Pusa-1121,245.43,Qtl,116.0,False
ARR0012382,2026-06-29,MANDI011,Mustard,Hybrid,36.39,Qtl,13.0,False
ARR0011204,2026-10-03,MANDI045,Maize,PBW-343,311.7,Qtl,110.0,False
ARR0005655,2026-01-09,MANDI025,Rice,Premium,461.3,Qtl,124.0,False
ARR0023591,2026-05-18,MANDI039,Cotton,HD-2967,160.01,Qtl,50.0,False
ARR0022554,2026-11-03,MANDI055,Rice,Hybrid,333.41,Qtl,24.0,False
ARR0024390,2026-08-05,MANDI042,Rice,Common,393.63,Qtl,7.0,False
ARR0008952,2026-04-25,MANDI002,Sugarcane,Pusa-1121,394.35,Qtl,89.0,False
ARR0013573,2026-06-08,MANDI015,Sugarcane,Hybrid,408.09,Qtl,6.0,False
ARR0023352,2026-06-06,MANDI044,Wheat,Common,252.05,Qtl,6.0,False
ARR0004259,2026-07-10,MANDI012,Cotton,Common,388.22,Qtl,22.0,False
ARR0024540,2026-06-14,MANDI035,Sugarcane,HD-2967,38.59,Qtl,14.0,False
ARR0012558,2026-08-21,MANDI034,Cotton,Premium,0.33,Qtl,7.0,False
ARR0013252,2026-07-30,MANDI003,Cotton,HD-2967,2.1771000000000003,Qtl,93.0,True
ARR0012739,2026-07-30,MANDI045,Rice,Common,388.99,Qtl,141.0,True
ARR0024633,2026-03-13,MANDI011,Rice,PBW-343,18.99,Qtl,23.0,False
ARR0016432,2026-02-19,MANDI027,Cotton,Premium,480.16,Qtl,128.0,False
ARR0001973,2026-01-08,MANDI040,Mustard,PBW-343,435.59,Qtl,115.0,False
ARR0019423,2026-01-31,MANDI039,Mustard,Premium,292.19,Qtl,148.0,False
ARR0018095,2026-06-03,MANDI017,Rice,HD-2967,0.45,Qtl,104.0,False
ARR0002502,2026-06-23,MANDI041,Rice,Premium,123.85999999999999,Qtl,63.0,False
ARR0020339,2026-03-31,MANDI028,Mustard,PBW-343,10.84,Qtl,127.0,False
ARR0007666,2026-07-31,MANDI053,Wheat,Common,258.79,Qtl,69.0,False
ARR0000753,2026-07-11,MANDI008,Wheat,Pusa-1121,481.46,Qtl,36.0,False
ARR0009620,2026-07-19,MANDI017,Maize,PBW-343,41.35,Qtl,33.0,False
ARR0004038,2026-07-14,MANDI040,Rice,PBW-343,355.78,Qtl,69.0,False
ARR0003704,2026-01-01,MANDI010,Cotton,Premium,0.3457,Qtl,7.0,True
ARR0008822,2026-06-20,MANDI043,Mustard,Hybrid,341.77,Qtl,31.0,False
ARR0005546,2026-09-05,MANDI014,Wheat,PBW-343,0.29,Qtl,137.0,False
ARR0014760,2026-01-20,MANDI047,Maize,Pusa-1121,407.2,Qtl,143.0,False
ARR0008484,2026-04-09,MANDI039,Sugarcane,Pusa-1121,491.69,Qtl,63.0,False
ARR0007108,2026-02-28,MANDI055,Maize,PBW-343,225.72,Qtl,108.0,False
ARR0000675,2026-02-07,MANDI050,Cotton,HD-2967,176.92,Qtl,12.0,False
ARR0005515,2026-02-24,MANDI054,Mustard,Common,178.87,Qtl,70.0,False
ARR0023195,2026-01-05,MANDI036,Mustard,Premium,408.7099999999999,Qtl,136.0,False
ARR0008616,2026-01-20,MANDI004,Mustard,Local,155.42,Qtl,147.0,False
ARR0011388,2026-08-06,MANDI016,Mustard,Pusa-1121,0.1,Qtl,40.0,False
ARR0009854,2026-06-02,MANDI011,Maize,HD-2967,0.39,Qtl,136.0,False
ARR0024014,2026-04-21,MANDI017,Sugarcane,Hybrid,171.5,Qtl,73.0,False
ARR0006483,2026-04-29,MANDI034,Sugarcane,Common,189.87,Qtl,93.0,False
ARR0020999,2026-08-29,MANDI013,Cotton,Pusa-1121,276.65,Qtl,73.0,False
ARR0003190,2026-08-09,MANDI027,Mustard,Common,447.07,Qtl,109.0,False
ARR0013399,2026-04-05,MANDI045,Wheat,Premium,415.6,Qtl,43.0,False
ARR0018530,2026-08-31,MANDI008,Cotton,Common,0.05,Qtl,108.0,False
ARR0005184,2026-02-11,MANDI026,Wheat,Local,10.57,Qtl,4.0,False
ARR0023040,2026-02-19,MANDI038,Cotton,PBW-343,355.5,Qtl,18.0,False
ARR0010762,2026-03-07,MANDI038,Cotton,Pusa-1121,296.79,Qtl,140.0,False
ARR0022839,2026-07-06,MANDI024,Wheat,Premium,322.05,Qtl,59.0,True
ARR0000200,2026-03-26,MANDI031,Wheat,Common,370.63,Qtl,117.0,False
ARR0018054,2026-03-02,MANDI021,Cotton,Common,71.58,Qtl,126.0,False
ARR0021355,2026-07-01,MANDI053,Sugarcane,Local,348.56,Qtl,8.0,False
ARR0009384,2026-12-05,MANDI038,Rice,Premium,222.33,Qtl,141.0,False
ARR0008050,2026-04-27,MANDI022,Wheat,Common,229.36,Qtl,107.0,False
ARR0016904,2026-08-26,MANDI021,Cotton,Pusa-1121,0.18,Qtl,149.0,False
ARR0021340,2026-03-10,MANDI021,Wheat,HD-2967,133.21,Qtl,77.0,False
ARR0013462,2026-05-27,MANDI035,Mustard,Local,488.38,Qtl,102.0,False
ARR0013518,2026-08-03,MANDI024,Wheat,Local,32.26,Qtl,22.0,False
ARR0022679,2026-06-22,MANDI022,Rice,Premium,310.12,Qtl,113.0,False
ARR0021328,2026-06-17,MANDI011,Rice,HD-2967,302.91,Qtl,87.0,False
ARR0002215,2026-06-21,MANDI018,Mustard,PBW-343,0.4,Qtl,14.0,False
ARR0021259,2026-03-07,MANDI036,Wheat,Pusa-1121,201.02,Qtl,130.0,False
ARR0008961,2026-06-03,MANDI004,Mustard,Hybrid,269.64,Qtl,19.0,False
ARR0012533,2026-08-28,MANDI015,Mustard,Local,164.03,Qtl,36.0,False
ARR0005019,2026-07-16,MANDI048,Mustard,Local,103.01,Qtl,66.0,False
ARR0021299,2026-07-23,MANDI050,Mustard,Premium,0.17,Qtl,113.0,False
ARR0014712,2026-02-24,MANDI041,Wheat,PBW-343,22.489999999999995,Qtl,63.0,False
ARR0018335,2026-01-29,MANDI028,Maize,Pusa-1121,227.28000000000003,Qtl,20.0,False
ARR0006137,2026-04-06,MANDI048,Maize,PBW-343,231.48,Qtl,47.0,False
ARR_RESCUE_00007,2026-05-19,MANDI023,Sugarcane,PBW-343,412.93999999999994,Qtl,128.0,False
ARR0021669,2026-06-20,MANDI012,Maize,Hybrid,463.53,Qtl,137.0,False
ARR0003712,2026-07-02,MANDI057,Wheat,Premium,257.08,Qtl,92.0,False
ARR0001924,2026-06-06,MANDI054,Rice,HD-2967,440.88,Qtl,160.0,False
ARR0023382,2026-04-03,MANDI013,Wheat,Premium,18.55,Qtl,74.0,False
ARR0024128,2026-03-24,MANDI027,Maize,HD-2967,120.76,Qtl,64.0,False
ARR0006109,2026-07-15,MANDI039,Rice,Local,496.52,Qtl,115.0,False
ARR0012814,2026-07-05,MANDI024,Sugarcane,Hybrid,349.75,Qtl,7.0,False
ARR0005571,2026-08-28,MANDI053,Wheat,Common,496.4,Qtl,115.0,False
ARR0020401,2026-08-13,MANDI021,Mustard,Local,244.85,Qtl,71.0,False
ARR0011080,2026-01-14,MANDI030,Rice,PBW-343,240.18,Qtl,141.0,True
ARR0016547,2026-06-26,MANDI040,Sugarcane,Common,357.81,Qtl,46.0,False
ARR0017342,2026-08-08,MANDI012,Rice,Pusa-1121,436.14,Qtl,83.0,False
ARR0022098,2026-04-16,MANDI048,Rice,Hybrid,11.55,Qtl,72.0,False
ARR0021088,2026-02-06,MANDI041,Mustard,Common,152.13,Qtl,40.0,False
ARR0003046,2026-08-05,MANDI012,Cotton,Pusa-1121,498.07,Qtl,97.0,False
ARR0015533,2026-06-26,MANDI055,Maize,Pusa-1121,463.12,Qtl,163.0,False
